접수일,처리부서,접수번호,청구제목,청구내용,결정구분,처리기간
2025-07-23,가람시 열린구 안전총괄과,FOI-2025-00011,새봄역 환승구역 학생 하학 관련 영상 열람 청구 (11호),자녀가 새봄역 환승구역에서 하학 후 귀가 시 이상 상황을 겪었다 합니다.확인을 위해 오후 5시에서 6시 사이의 환승구역 영상 열람을 청구합니다.,비공개,2
2022-01-22,가람시 열린구 안전총괄과,FOI-2022-00012,열린마을 공원 놀이터 안전 관련 영상 열람 청구 (12호),공원 놀이터에서 아이들 간 다툼이 있었다고 합니다.시설와관리책임 확인을 위해 해당 시간 공원 놀이대 주변 촬영분을 요청합니다.,부분공개,12
2025-07-29,가람시 열린구 정보통신과,FOI-2025-00013,해솔문화광장 야간 프로그램 참여 관련 영상 열람 청구 (13호),문화광장에서 열린 야간 행사에 참여했으나 귀가 후 소지품이 없는 걸 확인했습니다. 행사 현장의 영상 확인이 필요하여 청구합니다. 행사 종료 시간 전후를 포함해 주세요.,비공개,18
2024-02-28,가람시 새빛구 안전총괄과,FOI-2024-00014,온빛도서관 앞 도로 학생 안전 관련 영상 열람 청구 (14호),도서관 앞 도로에서 학생들이 뛰어가는 모습이 걱정됩니다.지역네트워크 차원에서 해당 구간 영상 확인을 요청합니다.,부존재,16
2025-03-31,누리시 바른구 정보통신과,FOI-2025-00015,라온체육센터 주변 운동 이용자 안전 관련 영상 열람 청구 (15호),체육센터 이용 후 야간에 이상 인물 접근이 있었다 합니다.운동시설자 안전을 위해 야간 조명 구간 영상을 청구합니다.,공개,7
2022-01-05,라온군 안전총괄과,FOI-2022-00016,세움산업단지 입구 출입 관리 영상 열람 청구 (16호),산업단지 입구에서 작업복 소지품이 사라지는 사고가 발생했습니다.시설 입출고 현황 파악을 위해 사고 발생일 전후 입구 CCTV 영상을 요청합니다.,부분공개,9
2024-06-20,새봄시 한울구 정보통신과,FOI-2024-00017,한들동 생활권 근로자 하교길 안전 영상 열람 청구 (17호),산업단지으로 늦은 후 한들동 생활권 구간을 걸어갑니다.귀가자의 안전을 위해 주요 경로 CCTV 영상을 확인하고 싶습니다.,공개,7
2022-06-16,미래군 안전총괄과,FOI-2022-00018,너울천 산책로 야간 이용자 안전 관련 영상 열람 청구 (18호),산책로 야간 조명이 약해 불빛 아래에서 실족 사고가 났습니다.시설 안전 점검을 위해 사고 발생 시간 너울천 산책로 영상을 청구합니다.,공개,11
2022-06-08,라온군 안전총괄과,FOI-2022-00019,맑은마을 커뮤니티센터 근로자 복지 관련 영상 열람 청구 (19호),커뮤니티센터 근무 중 시설물 이상으로 불편을 겪었습니다.근로환경자료 확보를 위해 해당 시간 시설 내부 영상을 요청합니다.,공개,3
2024-04-22,온빛시 정보통신과,FOI-2024-00020,빛솔광장 일대 야간 보행 관련 영상 열람 청구 (20호),빛솔광장 일대에서 늦은 시간 보행 시 의심 대상이 발견되었습니다.귀가자의 확보를 위해 해당 구간 영상을 열람 청구합니다.,부분공개,12
2023-05-27,새봄시 한울구 안전총괄과,FOI-2023-00021,새빛시장 한복 재료 구매 관련 영상 열람 청구 (21호),시장에서 한복용 직물을 구매했는데 무게 분쟁이 발생했습니다.상거래 분쟁 해결을 위해 해당 매장 주변 CCTV 영상을 요청합니다. 오후 2시경 구매 건입니다.,공개,12
2025-09-12,너울시 물빛구 정보통신과,FOI-2025-00022,해솔문화광장 전통 문화 행사 관련 영상 열람 청구 (22호),문화광장에서 개최된 전통 행사 중 소품 손상이 발생했습니다.행사 진행 현황 확인을 위해 행사 시간대 영상을 청구합니다.,부분공개,9
2025-10-06,세움시 맑은구 정보통신과,FOI-2025-00023,가람공공청사 주변 전통 공예 체험 관련 영상 열람 청구 (23호),공공청사 전통 공예 체험 프로그램 참여 후 작품이 훼손된 것을 확인했습니다.체험 과정 영상 확인을 위해 해당 시간대 촬영분을 요청합니다.,부분공개,14
2025-02-23,세움시 맑은구 정보통신과,FOI-2025-00024,온빛도서관 앞 전통 시장 구간 영상 열람 청구 (24호),도서관 앞 전통 시장 구간에서 산책 중 분쟁이 발생했습니다.지역 안전 실태 파악을 위해 해당 시간 시장 주변 영상을 청구합니다.,부분공개,6
2022-08-15,너울시 물빛구 안전총괄과,FOI-2022-00025,미르로 교차로 인근 전통 마을 영상 열람 청구 (25호),미르로 교차로 인근 전통 마을에서 전통 공예품 수급 관련 상담 후 귀가 중 지장이 발생했습니다.동네확인을 위해 해당 구간 영상을 요청합니다.,비공개,1
2025-07-31,온빛시 교통행정과,FOI-2025-00026,한울초 주변 통학로 교통신호 체계 변경 이력 및 안전 점검 기록 청구 (26호),"한울초 주변 통학로에서 최근 신호 체계가 변경된 것으로 파악됩니다. 자녀가 홀로 등교하고 있어 신호 변경이 초등학생 보행 안전에 미치는 영향이 걱정됩니다. 해당 구간의 신호 체계 변경 이력, 안전 점검 일정 및 결과를 공개하여 주시기 바랍니다.",비공개,7
2023-01-17,온빛시 교통행정과,FOI-2023-00027,가온로 보행구간 주정차 단속 경위 및 위반 차량 처리 내역 청구 (27호),"가온로 보행구간에서 주정차 단속이 집중적으로 이루어지고 있습니다. 한부모 가구로서 차량이 주요 이동 수단인데, 단속 기준과 위반 차량에 대한 처리 경위 및 결과가 불분명합니다. 단속 일시, 단속 근거 조항, 위반 차량 처리 내역의 공개를 요청합니다.",공개,8
2023-04-02,빛솔시 아람구 교통행정과,FOI-2023-00028,푸른마루 교차로 신호 고장 및 교체 이력 공개 청구 (28호),"푸른마루 교차로에서 신호 고장이 반복적으로 발생하고 있습니다. 출퇴근길에 이용하는 주요 교차로인 만큼 고장 원인, 보수 이력, 신호 교체 일정이 어떻게 되는지 알고 싶습니다. 해당 교차로 신호 관련 고장 접수 일시, 보수 이력, 교체 계획을 공개하여 주시기 바랍니다.",공개,2
2022-06-24,누리시 바른구 교통행정과,FOI-2022-00029,새빛시장 주변 불법주정차 민원 처리 현황 및 개선 계획 청구 (29호),"새빛시장 주변도로에 불법주정차가 빈번하여 보행자에 위험합니다. 시장 이용 고객과 인근 주민들 사이에서 민원이 다수 접수된 것으로 파악되는데, 현재까지의 민원 처리 현황과 개선 계획이 어떤지 확인이 필요합니다. 민원 접수 및 처리 결과, 향후 개선 계획을 공개하여 주시기 바랍니다.",비공개,18
2025-01-29,새봄시 한울구 안전총괄과,FOI-2025-00030,누리버스 정류장 접근로 신호 체계 및 안전시설 현황 청구 (30호),"누리버스 정류장을 이용하려는 시민들이 접근로에서 신호를 제대로 인식하지 못하는 상황이 발생하고 있습니다. 대 교통 이용자 관점에서 해당 구간의 신호 체계 및 안전시설 현황이 어떤지, 개선 요청이 있었다면 어떻게 조치되었는지 알고 싶습니다. 접근로 신호 현황, 안전시설 설치 및 개선 이력을 공개하여 주시기 바랍니다.",공개,3
2025-07-19,도담군 교통행정과,FOI-2025-00031,도담천 산책로 주변 신호등 계획 및 주민 의견 수렴 기록 청구 (31호),"도담천 산책로를 자주 이용하는데 특정 구간에 신호등이 없어 안전이 걱정됩니다. 앞서 주민 들수렴이 있었다는 이야기를 들었는데, 구체적으로 어떤 의견이 수렴되었고 계획이 현재 어떤 단계에 있는지 알고 싶습니다. 해당 구간 관련 의견 수렴 내용 및 계획을 공개하여 주시기 바랍니다.",공개,18
2025-06-03,가람시 새빛구 교통행정과,FOI-2025-00032,샘물동 생활권 일대 신호 빈도 및 보수 반응 시간 기록 청구 (32호),"샘물동 생활권 일대에서 신호이 빈번하여 불편을 겪고 있습니다. 구직 중인으로 출퇴근길에 신호로 인한 교통이 활동에 직접 영향을 미칩니다. 최근 반기 간 해당 지역 신호 빈도, 접수에서 보수 완료까지 반응 시간, 이력을 공개하여 주시기 바랍니다.",부분공개,13
2022-12-22,누리시 바른구 안전총괄과,FOI-2022-00033,열린마을 공원 주변 주정차 단속 및 단속 배치 기준 청구 (33호),"열린마을 공원 주변도로에 주정차 단속이 언제, 어떤 기준으로 이루어지는지 파악이 되지 않아 불이익을 받을까 걱정입니다. 단속이 공원 이용에 불편을 주지 않으면서도 교통 안전은 확보되어야 한다고 생각합니다. 해당 구간 단속 계획, 단속 배치 기준, 단속 시간대 및 근거를 공개하여 주시기 바랍니다.",부분공개,13
2022-05-23,빛솔시 아람구 안전총괄과,FOI-2022-00034,미르로 교차로 신호 전환 주기 변경 이력 및 영향 평가 자료 청구 (34호),"미르로 교차로에서 신호 전환 주기가 변경된 후 교통 흐름이 변화한 것을 체감하고 있습니다. 변경 전후의 시간, 변경 결정 근거, 변경 후 교통 영향 평가 자료가 있는지를 알고 싶습니다. 부모님과 함께 거주하는으로, 해당 교차로를 자주 보행하므로 안전이 중요합니다. 변경 이력 및 평가 자료를 공개하여 주시기 바랍니다.",부분공개,1
2025-03-07,너울시 물빛구 안전총괄과,FOI-2025-00035,새봄역 환승구역 주변 불법주정차 단속 현황 및 CCTV 설치 근거 청구 (35호),"새봄역 환승구역 주변에 불법주정차가 심해 대중교통 이용이 불편합니다. CCTV 설치 근거와 현재 단속 현황이 어떤지, 추가로 단속 설비가 필요한지 여부를 판단하기 위해 자료를 요청합니다. 불법주정차 단속 현황, CCTV 설치 및 운용 근거, 단속 효과 분석 자료를 공개하여 주시기 바랍니다.",비공개,16
2022-05-02,새봄시 한울구 교통행정과,FOI-2022-00036,한들동 생활권 어린이 보호 구역 신호 체계 및 단속 실태 청구 (36호),"한들동 생활권 내 어린이 보호 구역의 신호 체계가 정상적으로 작동하는지 확인이 필요합니다. 해당 구간에 거주하는 부모로서, 자녀의 안전이 최우선입니다. 어린이 보호 구역 신호 가동 현황, 단속 실태 및 위반 발생 빈도, 안전 점검 결과를 공개하여 주시기 바랍니다.",공개,18
2023-07-07,도담군 안전총괄과,FOI-2023-00037,가람공공청사 주변 주차 위반 단속 기준 및 이의신청 처리 절차 청구 (37호),"가람공공청사 주변에서 주정차 위반으로 과태료 부과를 받았는데, 단속 기준과 이의신청 절차에 대해 명확한 안내를 받은 적이 없습니다. 전직 기술자였던으로 근거 법리와 절차에 대해 정확히 알고 싶습니다. 주차 위반 단속 기준, 이의신청 처리 절차, 최근 처리 사례를 공개하여 주시기 바랍니다.",공개,15
2025-06-14,세움시 맑은구 안전총괄과,FOI-2025-00038,너울천 산책로 진입로 신호 보완 요청 처리 경과 및 조치 결과 청구 (38호),"너울천 산책로 진입로에 신호 시설이 부족하여 보행자와 차량 간 접촉 위험이 있다고 판단되어 구청에 보완을 요청한 바 있습니다. 요청 이후 어떤 조치가 이루어졌는지, 추가 계획은 없는지 확인이 필요합니다. 보완 요청 접수 및 처리 경과, 향후 조치 계획의 공개를 요청합니다.",부분공개,12
2024-06-18,너울시 물빛구 안전총괄과,FOI-2024-00039,빛솔광장 일대 야간 신호 가시성 확보 조치 현황 청구 (39호),"빛솔광장 일대에서 야간에 신호의 가시성이 떨어져 보행 안전이 우려됩니다. 고령화된 동네라 더 위험합니다. 야간 신호 가시성 확보를 위한 조치가 어떤 것이 있는지, 계획이 있다면 일정은 어떻게 되는지 공개하여 주시기 바랍니다.",부분공개,12
2024-04-27,가람시 새빛구 안전총괄과,FOI-2024-00040,세움산업단지 입구 신호 체계 업그레이드 계획 및 주민 설명회 자료 청구 (40호),"세움산업단지 입구 교차로에서 대형 차량 운행이 빈번한데 신호 체계가 이에 적합하지 않다는 지적이 있습니다. 업그레이드 계획이 있다는 소식을 들었는데, 구체적으로 어떤 개선인지, 주민 설명회 자료가 있다면공개해 주시기 바랍니다. 업그레이드 계획 내용, 주민 설명회 자료 및 의견 수렴 결과를 공개하여 주시기 바랍니다.",공개,12
2024-07-17,너울시 물빛구 교통행정과,FOI-2024-00041,온빛도서관 앞 보행자 신호 시간 조정 내역 및 근거 청구 (41호),온빛도서관 앞 보행자 신호 시간이 지나치게 짧아 가 안전하게 건너기 어렵습니다. 시간이 조정된 적이 있다면 그 내역과 조정 근거가 무엇인지 알고 싶습니다. 최근 보행자 신호 시간 조정 이력 및 조정 근거 자료를 공개하여 주시기 바랍니다.,공개,4
2022-05-08,세움시 맑은구 안전총괄과,FOI-2022-00042,라온체육센터 주변 불법주정차 집중 단속 기간 및 세부 방법 청구 (42호),"라온체육센터 주변도로에 불법주정차가 많아 체육센터 이용객과 지역 주민 간 갈등이 발생하고 있습니다. 집중 단속 기간과 세부 방법, 단속 후 개선 효과가 있었는지 확인이 필요합니다. 집중 단속 시기, 방법, 단속 및 개선 효과를 담은 자료를 공개하여 주시기 바랍니다.",부분공개,20
2022-07-16,너울시 물빛구 안전총괄과,FOI-2022-00043,해솔문화광장 주변 신호 고장 대응 매뉴얼 및 반응 시간 기준 청구 (43호),"해솔문화광장 주변 교차로에서 신호 고장 시 대응이 신속하지 않아 교통 정체가 자주 발생합니다. 현재 구청이 보유한 신호 고장 대응 매뉴얼과 반응 시간 기준이 어떤지, 과거 사례에서 실제 반응 시간이 기준에 부합했는지 알고 싶습니다. 대응 매뉴얼 및 반응 시간 기준, 최근 대응 결과를 공개하여 주시기 바랍니다.",부분공개,9
2024-12-08,여울시 단비구 교통행정과,FOI-2024-00044,맑은마을 커뮤니티센터 앞 주정차 위반 과태료 부과 및 감면 기준 청구 (44호),"맑은마을 커뮤니티센터 앞 도로에서 주정차 위반으로 과태료 부과를 받았으나, 부과 금액 산정 근거와 감면 가능 여부가 불분명합니다. 부과 기준과 감면 요건에 대해 정확한 안내를 받고 싶습니다. 과태료 부과 기준, 산정 방식, 감면 요건 및 최근 적용 사례를 공개하여 주시기 바랍니다.",부분공개,9
2024-07-22,도담군 안전총괄과,FOI-2024-00045,미래복합센터 인근 교차로 신호음향장치 설치 현황 및 계획 청구 (45호),"미래복합센터 인근 교차로에 시각장애인을 위한 음향장치가 있는지, 또 설치 계획이 있는지 확인이 필요합니다. 사회복지 관련 종사자로서 이동권 보장의 관점에서 관심이 큽니다. 해당 교차로 음향장치 설치 현황, 최근 계획 및 예산 배정 내역을 공개하여 주시기 바랍니다.",비공개,8
2022-05-04,빛솔시 아람구 교통행정과,FOI-2022-00046,가온로 보행구간 신호체계 변경에 관한 환경영향평가 자료 청구 (46호),"가온로 보행구간에서 최근 신호체계가 전면 변경되었습니다. 변경에 따른 환경영향, 특히 소음 및 대기 환경에 미치는 영향이 우려되어 관련 평가 자료가 있는지 확인이 필요합니다. 신호체계 변경에 따른 환경영향평가 여부 및 평가 결과를 공개하여 주시기 바랍니다.",부분공개,12
2024-04-26,새봄시 한울구 교통행정과,FOI-2024-00047,새빛시장 주변 불법주정차 단속 설비 도입 및 효과 분석 자료 청구 (47호),"새빛시장 주변 불법주정차 문제를 해결하기 위해 단속 설비가 도입되었다는 소식을 들었습니다. 어떤 설비가 도입되었고, 도입 전후의 단속 효과 차이가 있는지 구체적인 분석 자료가 있는지 알고 싶습니다. 단속 설비 도입 시기 및 종류, 도입 전후 단속 효과 분석 자료를 공개하여 주시기 바랍니다.",부분공개,16
2024-08-14,누리시 바른구 교통행정과,FOI-2024-00048,누리버스 정류장 앞 신호처리 대상 차량 유형 기준 청구 (48호),"누리버스 정류장 앞 신호가 대중교통 우선 신호로 운용되고 있다는 이야기를 들었습니다. 어떤 차량 유형이 우선 처리 대상인지, 그 기준이 무엇인지 명확히 알고 싶습니다. 대중교통 신호의 대상 차량 유형, 우선 처리 기준 및 운영 시간을 공개하여 주시기 바랍니다.",공개,7
2024-09-27,도담군 안전총괄과,FOI-2024-00049,한울초 주변 통학로 교통안전시설 사업 예산 및 추진 일정 청구 (49호),"한울초 주변 통학로에 교통안전시설 사업이 추진되고 있다는 안내를 받았습니다. 구체적으로 어떤 시설이되는지, 예산 규모는どの인지, 추진 일정은 어떻게 되는지 상세히 알고 싶습니다. 시설 종류, 예산 규모, 추진 일정 및 완료 목표 시점을 공개하여 주시기 바랍니다.",공개,19
2023-05-08,여울시 단비구 교통행정과,FOI-2023-00050,푸른마루 교차로 주정차 단속신청 처리 사례 및 비율 청구 (50호),"푸른마루 교차로 주변에서 주정차 위반으로 과태료 부과 후신청을 하려는으로,신청이 어떻게 처리되었는지, 결정どの인지 알고 싶습니다.신청 처리 사례 수, 인정 비율 및 주요 인정 사유를 집계한 자료를 공개하여 주시기 바랍니다.",부분공개,9
2024-07-05,미래군 건축허가과,FOI-2024-00051,샘물동 생활권 내 건축허가 및 불법건축물 현황에 관한 청구 (51호),"샘물동 생활권 일대에서 최근 수년간 건축허가 처리 현황과 불법건축물 단속 결과, 그리고 철거 집행 현황을 알려주세요. 철로 설치원으로서 현장 출퇴근 경로 주변 건축 공사의 적법성이 안전 근무 여건에 영향을 미치므로 필요합니다.",공개,20
2025-02-24,새봄시 한울구 건축허가과,FOI-2025-00052,푸른마루 교차로 인접 건축현장 안전 조치 및 허가 이월 공사에 대한 청구 (52호),푸른마루 교차로 부근에서 진행된 건축공사의 허가 이월 처리 경위와 현장 안전 조치 이행 현황을 요청합니다. 매일 해당 교차로를 이용하며 대형 차량 통행 빈도가 높아 안전 확인이 시급합니다.,공개,8
2022-06-27,새봄시 한울구 건축허가과,FOI-2022-00053,미래복합센터 인근 불법 옥상물 단속 및 행정 처분에 관한 청구 (53호),"미래복합센터 인근 단지에 대한 건축허가 없이 증축된 옥상 건축물에 대한 단속 경위, 현지 조사일시, 그리고 행정 처분 내용을 알려주세요. 복합시설 이용객의 보행 안전과 직결되는 사안입니다.",공개,7
2024-09-17,여울시 단비구 건축허가과,FOI-2024-00054,새빛시장 주변 상가 건물 리모델링 허가 처리 절차 및 불법 공사 현황에 관한 청구 (54호),새빛시장 주변 상가 건물 리모델링 공사에 관한 건축허가 신청부터 인허가까지 처리기간과 불법 공사로 행정처분을 받은 내역을 요청합니다. 시장 상인들과의 거래 관계로 인해 영업 환경 파악이 필요합니다.,비공개,7
2024-06-16,미래군 도시계획과,FOI-2024-00055,한울초 주변 통학로 불법 경비원실 설치 및 건축물 용도 변경 허가 여부에 관한 청구 (55호),"한울초 주변 통학로에 설치된 건물 내 경비원실 설치가 건축물 용도 변경 허가를 받았는지, 미허가 시 어떤 행정 절차를 진행했는지 알려주세요. 초등학생 자녀의 등하교 안전을 위해 필요합니다.",부분공개,19
2024-03-08,너울시 물빛구 도시계획과,FOI-2024-00056,가온로 보행구간 인접 불법 주차장 조성에 관한 건축허가 및 단속 기록 청구 (56호),"가온로 보행구간 옆 대지에서 건축허가 없이 조성된 불법 주차장에 대한 허가 신청 이력, 현지 조사 결과, 그리고 행정처분 내용을 알려주세요. 보행자 안전에 직접적인 위협이 되는 사안입니다.",부분공개,3
2022-07-04,예담시 늘품구 건축허가과,FOI-2022-00057,세움산업단지 입구 공동주택 불법 Balkon 확장 부분 철거 조치 및 법적 근거에 관한 청구 (57호),"세움산업단지 입구 공동주택에서 건축허가 없이 Balkon를 확장한 부분에 대한 시정 조치 법적 근거, 그리고 동 구조물의 안전진단 결과를 요청합니다. 산업단지로 출근하는 동거 가족의 안전이 걱정됩니다.",공개,2
2022-05-19,해솔시 건축허가과,FOI-2022-00058,도담천 산책로 주변 불법 담장 축조 및 경관 위반 처분에 관한 청구 (58호),"도담천 산책로 주변 토지에 건축허가 없이 축조된 담장에 대한 허가 신청 이력, 경관 위반 판단 근거, 그리고 행정처분 내용을 알려주세요. 산책로 이용객으로서 쾌적한 환경 유지에 관심이 있습니다.",부분공개,20
2022-06-29,온빛시 도시계획과,FOI-2022-00059,맑은마을 커뮤니티센터 인접 필지 건축허가 및 불법 축조 현황에 관한 청구 (59호),맑은마을 커뮤니티센터 맞은편 필지에서 최근 3년간 건축허가 처리 현황과 불법 축조물이 있으면 그 단속 결과를 요청합니다. 고령 부모님이 커뮤니티센터를 이용하므로 주변 환경 안전 파악이 필요합니다.,부분공개,17
2023-03-19,예담시 늘품구 건축허가과,FOI-2023-00060,누리버스 정류장 인접 불법 점포 증축 건물 안전 점검 결과에 관한 청구 (60호),누리버스 정류장 옆 건물에서 불법 증축된 점포 부분에 대한 안전 점검 실시 여부와 그 결과를 요청합니다. 승객 승하차 시 해당 건물 직접 통과하므로 안전 확인이 시급합니다.,부분공개,13
2022-07-22,가람시 새빛구 건축허가과,FOI-2022-00061,온빛도서관 앞 불법 노점 상가 설치 건축물 용도 위반 처분에 관한 청구 (61호),"온빛도서관 앞 공지에 설치된 노점 상가 건축물에 대한 건축물 용도 변경 허가 여부와 위반 시 부과한 과태료 금액, 그리고 향후 관리 계획을 알려주세요. 도서관 이용객의 안전과 환경을 위해 필요합니다.",공개,10
2023-04-14,여울시 단비구 건축허가과,FOI-2023-00062,라온체육센터 주변 불법 주차장 조성에 대한 건축허가 및 환경영향평가 관계에 관한 청구 (62호),"라온체육센터 주변 대지에서 건축허가 없이 조성된 불법 주차장에 대한 허가 신청 이력, 환경영향평가 면제 여부, 그리고 향후 정화 계획이 있는지 알려주세요. 체육시설 이용객의 주차 환경 파악이 필요합니다.",공개,11
2023-08-05,가람시 새빛구 건축허가과,FOI-2023-00063,새봄역 환승구역 불법 지하층 용도 변경 및 피난 안전 설비 현황에 관한 청구 (63호),"새봄역 환승구역 지하 상가에서 건축물 용도 변경 없이 음식점 구역으로 운영된 사실이 있는지, 그리고 피난 안전 설비 기준 충족 여부를 알려주세요. 매일 환승 이용 시 안전 확인이 필요합니다.",부분공개,1
2025-05-25,미래군 건축허가과,FOI-2025-00064,가람공공청사 주변 불법 외부 광고물 설치 및 건축물 외부 허가 관계에 관한 청구 (64호),"가람공공청사 주변 건물에서 건축물 외부 허가 없이 설치된 대형 외부 광고물에 대한 허가 신청 이력, 현지 조사 결과, 그리고 철거 명령 내용을 알려주세요. 공공청사 주변 경관 및 안전에 관심이 있습니다.",공개,18
2024-06-06,미래군 건축허가과,FOI-2024-00065,한들동 생활권 다가구 주택 불법 발코니 확장 부분 철거 명령 및 집행 현황에 관한 청구 (65호),"한들동 생활권 내 다가구 주택에서 건축허가 없이 확장한 발코니에 대한 철거 명령 시기, 집행 예정일, 그리고 최종 집행 여부를 알려주세요. 이웃 주거 환경에 미치는 영향이 걱정되어 청구합니다.",공개,14
2024-07-24,예담시 늘품구 건축허가과,FOI-2024-00066,미르로 교차로 인접 대지 불법 Semi 지하실 증축 및 구조 안전성에 관한 청구 (66호),"미르로 교차로 부근 대지에서 건축허가 없이 증축한 Semi 지하실에 대한 허가 신청 이력, 구조 안전성 확인 여부, 그리고 시정 명령 내용을 요청합니다. 교차로 주변 지반 안전과 직접 연관되는 사안입니다.",공개,14
2025-11-28,가람시 열린구 건축허가과,FOI-2025-00067,열린마을 공원 인접 불법 건축물 축조 및 공원 용도 훼손 여부에 관한 청구 (67호),"열린마을 공원 인접 대지에서 건축허가 없이 축조된 건축물에 대한 단속 경위와 공원 용도 훼손 판단 근거, 그리고 향후 환원 계획이 있는지 알려주세요. 공원 이용객의 안전과 환경 보전이 중요합니다.",부분공개,9
2023-03-07,가람시 열린구 건축허가과,FOI-2023-00068,새빛시장 주변 상가 불법 내부 증축 부분 사용 전허가 여부에 관한 청구 (68호),"새빛시장 주변 상가 내부에서 건축허가 없이 증축한 부분이 사용 전허가를 받았는지, 미허가 시 영업 정지 명령 내용을 알려주세요. 시장의 영업 환경 및 소비자 안전 파악이 필요합니다.",공개,8
2024-01-23,해솔시 도시계획과,FOI-2024-00069,해솔문화광장 인접 다가구주택 불법 지붕 변경 및 경관 영향 평가에 관한 청구 (69호),"해솔문화광장 옆 다가구주택에서 건축허가 없이 변경한 지붕 형태에 대한 허가 신청 이력, 경관 영향 평가 여부, 그리고 행정처분 내용을 요청합니다. 광장 주변 경관 보호가 중요합니다.",공개,3
2024-04-23,라온군 도시계획과,FOI-2024-00070,한울초 주변 통학로 불법 현수막 게시물 설치 건축물 외벽 안전 점검 결과에 관한 청구 (70호),한울초 주변 통학로 건물의 외벽에 허가 없이 설치된 대형 현수막 게시물에 대한 허가 신청 여부와 외벽 안전 점검 결과를 알려주세요. 자녀의 등하교 통학로 안전을 위해 반드시 확인이 필요합니다.,부분공개,5
2024-09-27,온빛시 도시계획과,FOI-2024-00071,도담천 산책로 주변 도로 점용 건축물 허가 및 불법 점용 현황에 관한 청구 (71호),도담천 산책로 옆 도로 점용 구역에 건축된 건축물에 대한 도로점용 허가 신청 이력과 불법 점용 시 부과한 과태료 금액을 알려주세요. 산책로 보행자 안전과 직결됩니다.,공개,10
