민원등록일,민원내용,민원접수번호,민원제목,처리부서,민원유형,처리완료일
2024-08-12,야간 횡단보도 조명을 점검해 주세요.,SYN-VOC-0033,합성 예제 33,도로관리,안전,2024-08-23
2024-08-19,학교 앞 도로의 파손된 보도블록을 보수해 주세요.,SYN-VOC-0034,합성 예제 34,도로관리,시설,2024-08-20
2024-08-26,어린이공원에 버려진 쓰레기를 수거해 주세요.,SYN-VOC-0035,합성 예제 35,환경관리,환경,2024-08-28
2024-09-02,야간 횡단보도 조명을 점검해 주세요.,SYN-VOC-0036,합성 예제 36,도로관리,안전,
2024-09-09,학교 앞 도로의 파손된 보도블록을 보수해 주세요.,SYN-VOC-0037,합성 예제 37,도로관리,시설,2024-09-13
2024-09-16,어린이공원에 버려진 쓰레기를 수거해 주세요.,SYN-VOC-0038,합성 예제 38,환경관리,환경,2024-09-21
2024-09-23,야간 횡단보도 조명을 점검해 주세요.,SYN-VOC-0039,합성 예제 39,도로관리,안전,2024-09-29
2024-09-30,학교 앞 도로의 파손된 보도블록을 보수해 주세요.,SYN-VOC-0040,합성 예제 40,도로관리,시설,2024-10-07
2024-10-07,어린이공원에 버려진 쓰레기를 수거해 주세요.,SYN-VOC-0041,합성 예제 41,환경관리,환경,
2024-10-14,야간 횡단보도 조명을 점검해 주세요.,SYN-VOC-0042,합성 예제 42,도로관리,안전,2024-10-23
2024-10-21,학교 앞 도로의 파손된 보도블록을 보수해 주세요.,SYN-VOC-0043,합성 예제 43,도로관리,시설,2024-10-31
2024-10-28,어린이공원에 버려진 쓰레기를 수거해 주세요.,SYN-VOC-0044,합성 예제 44,환경관리,환경,2024-11-08
2024-11-04,야간 횡단보도 조명을 점검해 주세요.,SYN-VOC-0045,합성 예제 45,도로관리,안전,2024-11-05
2024-11-11,학교 앞 도로의 파손된 보도블록을 보수해 주세요.,SYN-VOC-0046,합성 예제 46,도로관리,시설,
2024-11-18,어린이공원에 버려진 쓰레기를 수거해 주세요.,SYN-VOC-0047,합성 예제 47,환경관리,환경,2024-11-21
2024-11-25,야간 횡단보도 조명을 점검해 주세요.,SYN-VOC-0048,합성 예제 48,도로관리,안전,2024-11-29
2024-12-02,학교 앞 도로의 파손된 보도블록을 보수해 주세요.,SYN-VOC-0049,합성 예제 49,도로관리,시설,2024-12-07
2024-12-09,어린이공원에 버려진 쓰레기를 수거해 주세요.,SYN-VOC-0050,합성 예제 50,환경관리,환경,2024-12-15
2024-12-16,야간 횡단보도 조명을 점검해 주세요.,SYN-VOC-0051,합성 예제 51,도로관리,안전,
2024-12-23,학교 앞 도로의 파손된 보도블록을 보수해 주세요.,SYN-VOC-0052,합성 예제 52,도로관리,시설,2024-12-31
2024-12-30,어린이공원에 버려진 쓰레기를 수거해 주세요.,SYN-VOC-0053,합성 예제 53,환경관리,환경,2025-01-08
2025-01-06,야간 횡단보도 조명을 점검해 주세요.,SYN-VOC-0054,합성 예제 54,도로관리,안전,2025-01-16
2025-01-13,학교 앞 도로의 파손된 보도블록을 보수해 주세요.,SYN-VOC-0055,합성 예제 55,도로관리,시설,2025-01-24
2025-01-20,어린이공원에 버려진 쓰레기를 수거해 주세요.,SYN-VOC-0056,합성 예제 56,환경관리,환경,
2025-01-27,야간 횡단보도 조명을 점검해 주세요.,SYN-VOC-0057,합성 예제 57,도로관리,안전,2025-01-29
2025-02-03,학교 앞 도로의 파손된 보도블록을 보수해 주세요.,SYN-VOC-0058,합성 예제 58,도로관리,시설,2025-02-06
2025-02-10,어린이공원에 버려진 쓰레기를 수거해 주세요.,SYN-VOC-0059,합성 예제 59,환경관리,환경,2025-02-14
2025-02-17,야간 횡단보도 조명을 점검해 주세요.,SYN-VOC-0060,합성 예제 60,도로관리,안전,2025-02-22
2025-02-24,학교 앞 도로의 파손된 보도블록을 보수해 주세요.,SYN-VOC-0061,합성 예제 61,도로관리,시설,
2025-03-03,어린이공원에 버려진 쓰레기를 수거해 주세요.,SYN-VOC-0062,합성 예제 62,환경관리,환경,2025-03-10
2025-03-10,야간 횡단보도 조명을 점검해 주세요.,SYN-VOC-0063,합성 예제 63,도로관리,안전,2025-03-18
2025-03-17,학교 앞 도로의 파손된 보도블록을 보수해 주세요.,SYN-VOC-0064,합성 예제 64,도로관리,시설,2025-03-26
2025-03-24,어린이공원에 버려진 쓰레기를 수거해 주세요.,SYN-VOC-0065,합성 예제 65,환경관리,환경,2025-04-03
2025-03-31,야간 횡단보도 조명을 점검해 주세요.,SYN-VOC-0066,합성 예제 66,도로관리,안전,
2025-04-07,학교 앞 도로의 파손된 보도블록을 보수해 주세요.,SYN-VOC-0067,합성 예제 67,도로관리,시설,2025-04-08
2025-04-14,어린이공원에 버려진 쓰레기를 수거해 주세요.,SYN-VOC-0068,합성 예제 68,환경관리,환경,2025-04-16
2025-04-21,야간 횡단보도 조명을 점검해 주세요.,SYN-VOC-0069,합성 예제 69,도로관리,안전,2025-04-24
2025-04-28,학교 앞 도로의 파손된 보도블록을 보수해 주세요.,SYN-VOC-0070,합성 예제 70,도로관리,시설,2025-05-02
2025-05-05,어린이공원에 버려진 쓰레기를 수거해 주세요.,SYN-VOC-0071,합성 예제 71,환경관리,환경,
2025-05-12,야간 횡단보도 조명을 점검해 주세요.,SYN-VOC-0072,합성 예제 72,도로관리,안전,2025-05-18
2025-05-19,학교 앞 도로의 파손된 보도블록을 보수해 주세요.,SYN-VOC-0073,합성 예제 73,도로관리,시설,2025-05-26
2025-05-26,어린이공원에 버려진 쓰레기를 수거해 주세요.,SYN-VOC-0074,합성 예제 74,환경관리,환경,2025-06-03
2025-06-02,야간 횡단보도 조명을 점검해 주세요.,SYN-VOC-0075,합성 예제 75,도로관리,안전,2025-06-11
2025-06-09,학교 앞 도로의 파손된 보도블록을 보수해 주세요.,SYN-VOC-0076,합성 예제 76,도로관리,시설,
2025-06-16,어린이공원에 버려진 쓰레기를 수거해 주세요.,SYN-VOC-0077,합성 예제 77,환경관리,환경,2025-06-27
2025-06-23,야간 횡단보도 조명을 점검해 주세요.,SYN-VOC-0078,합성 예제 78,도로관리,안전,2025-06-24
2025-06-30,학교 앞 도로의 파손된 보도블록을 보수해 주세요.,SYN-VOC-0079,합성 예제 79,도로관리,시설,2025-07-02
2025-07-07,어린이공원에 버려진 쓰레기를 수거해 주세요.,SYN-VOC-0080,합성 예제 80,환경관리,환경,2025-07-10
2025-07-14,야간 횡단보도 조명을 점검해 주세요.,SYN-VOC-0081,합성 예제 81,도로관리,안전,
2025-07-21,학교 앞 도로의 파손된 보도블록을 보수해 주세요.,SYN-VOC-0082,합성 예제 82,도로관리,시설,2025-07-26
2025-07-28,어린이공원에 버려진 쓰레기를 수거해 주세요.,SYN-VOC-0083,합성 예제 83,환경관리,환경,2025-08-03
2025-08-04,야간 횡단보도 조명을 점검해 주세요.,SYN-VOC-0084,합성 예제 84,도로관리,안전,2025-08-11
2025-08-11,학교 앞 도로의 파손된 보도블록을 보수해 주세요.,SYN-VOC-0085,합성 예제 85,도로관리,시설,2025-08-19
2025-08-18,어린이공원에 버려진 쓰레기를 수거해 주세요.,SYN-VOC-0086,합성 예제 86,환경관리,환경,
2025-08-25,야간 횡단보도 조명을 점검해 주세요.,SYN-VOC-0087,합성 예제 87,도로관리,안전,2025-09-04
2025-09-01,학교 앞 도로의 파손된 보도블록을 보수해 주세요.,SYN-VOC-0088,합성 예제 88,도로관리,시설,2025-09-12
2025-09-08,어린이공원에 버려진 쓰레기를 수거해 주세요.,SYN-VOC-0089,합성 예제 89,환경관리,환경,2025-09-09
2025-09-15,야간 횡단보도 조명을 점검해 주세요.,SYN-VOC-0090,합성 예제 90,도로관리,안전,2025-09-17
2025-09-22,학교 앞 도로의 파손된 보도블록을 보수해 주세요.,SYN-VOC-0091,합성 예제 91,도로관리,시설,
2025-09-29,어린이공원에 버려진 쓰레기를 수거해 주세요.,SYN-VOC-0092,합성 예제 92,환경관리,환경,2025-10-03
2025-10-06,야간 횡단보도 조명을 점검해 주세요.,SYN-VOC-0093,합성 예제 93,도로관리,안전,2025-10-11
2025-10-13,학교 앞 도로의 파손된 보도블록을 보수해 주세요.,SYN-VOC-0094,합성 예제 94,도로관리,시설,2025-10-19
2025-10-20,어린이공원에 버려진 쓰레기를 수거해 주세요.,SYN-VOC-0095,합성 예제 95,환경관리,환경,2025-10-27
2025-10-27,야간 횡단보도 조명을 점검해 주세요.,SYN-VOC-0096,합성 예제 96,도로관리,안전,
2025-11-03,학교 앞 도로의 파손된 보도블록을 보수해 주세요.,SYN-VOC-0097,합성 예제 97,도로관리,시설,2025-11-12
2025-11-10,어린이공원에 버려진 쓰레기를 수거해 주세요.,SYN-VOC-0098,합성 예제 98,환경관리,환경,2025-11-20
2025-11-17,야간 횡단보도 조명을 점검해 주세요.,SYN-VOC-0099,합성 예제 99,도로관리,안전,2025-11-28
2025-11-24,학교 앞 도로의 파손된 보도블록을 보수해 주세요.,SYN-VOC-0100,합성 예제 100,도로관리,시설,2025-11-25
2025-12-01,어린이공원에 버려진 쓰레기를 수거해 주세요.,SYN-VOC-0101,합성 예제 101,환경관리,환경,
2025-12-08,야간 횡단보도 조명을 점검해 주세요.,SYN-VOC-0102,합성 예제 102,도로관리,안전,2025-12-11
2025-12-15,학교 앞 도로의 파손된 보도블록을 보수해 주세요.,SYN-VOC-0103,합성 예제 103,도로관리,시설,2025-12-19
2025-12-22,어린이공원에 버려진 쓰레기를 수거해 주세요.,SYN-VOC-0104,합성 예제 104,환경관리,환경,2025-12-27
2025-12-29,야간 횡단보도 조명을 점검해 주세요.,SYN-VOC-0105,합성 예제 105,도로관리,안전,2026-01-04
2026-01-05,학교 앞 도로의 파손된 보도블록을 보수해 주세요.,SYN-VOC-0106,합성 예제 106,도로관리,시설,
2026-01-12,어린이공원에 버려진 쓰레기를 수거해 주세요.,SYN-VOC-0107,합성 예제 107,환경관리,환경,2026-01-20
2026-01-19,야간 횡단보도 조명을 점검해 주세요.,SYN-VOC-0108,합성 예제 108,도로관리,안전,2026-01-28
2026-01-26,학교 앞 도로의 파손된 보도블록을 보수해 주세요.,SYN-VOC-0109,합성 예제 109,도로관리,시설,2026-02-05
2026-02-02,어린이공원에 버려진 쓰레기를 수거해 주세요.,SYN-VOC-0110,합성 예제 110,환경관리,환경,2026-02-13
2026-02-09,야간 횡단보도 조명을 점검해 주세요.,SYN-VOC-0111,합성 예제 111,도로관리,안전,
2026-02-16,학교 앞 도로의 파손된 보도블록을 보수해 주세요.,SYN-VOC-0112,합성 예제 112,도로관리,시설,2026-02-18
2026-02-23,어린이공원에 버려진 쓰레기를 수거해 주세요.,SYN-VOC-0113,합성 예제 113,환경관리,환경,2026-02-26
2026-03-02,야간 횡단보도 조명을 점검해 주세요.,SYN-VOC-0114,합성 예제 114,도로관리,안전,2026-03-06
2026-03-09,학교 앞 도로의 파손된 보도블록을 보수해 주세요.,SYN-VOC-0115,합성 예제 115,도로관리,시설,2026-03-14
2026-03-16,어린이공원에 버려진 쓰레기를 수거해 주세요.,SYN-VOC-0116,합성 예제 116,환경관리,환경,
2026-03-23,야간 횡단보도 조명을 점검해 주세요.,SYN-VOC-0117,합성 예제 117,도로관리,안전,2026-03-30
2026-03-30,학교 앞 도로의 파손된 보도블록을 보수해 주세요.,SYN-VOC-0118,합성 예제 118,도로관리,시설,2026-04-07
2026-04-06,어린이공원에 버려진 쓰레기를 수거해 주세요.,SYN-VOC-0119,합성 예제 119,환경관리,환경,2026-04-15
2026-04-13,야간 횡단보도 조명을 점검해 주세요.,SYN-VOC-0120,합성 예제 120,도로관리,안전,2026-04-23
